"stop_id","stop_name","stop_desc","stop_lat","stop_lon"
530009982,"Av. República Do Líbano, 176","Ref.: R Lima Barros/ R Bento De Andrade",-23.581919,-46.663490
530009983,"Av. República Do Líbano, 570","Ref.: R Colatino Marques/ R Fernandes Borges",-23.585512,-46.663955
530009984,"Av. República Do Líbano","Ref.: R Lourenco Castanho/ R Escobar Ortiz",-23.589254,-46.664466
530009985,"Av. República Do Líbano, 1214","Ref.: R Professor Filadelfo Azevedo/ R Joao Lourenco",-23.591579,-46.664817
530009986,"Av. República Do Líbano, 1696","Ref.: Av Quarto Centenario/ R Comandante Ismael Guilherme",-23.595694,-46.664307
530009987,"Av. República Do Líbano, 1812","Ref.: R Canario/ Ac R Dos Acores",-23.596731,-46.663181
530009988,"Av. República Do Líbano, 2200","Ref.: R Do Gama/ Al Jauaperi",-23.598791,-46.660651
530009989,"Av. Indianópolis, 194","Ref.: Al Dos Jurupis/ Al Irae",-23.601353,-46.657394
530009990,"Av. Indianópolis, 768","Ref.: Av Acoce/ Al Dos Aicas",-23.605352,-46.653783
530010287,"Al. Dos Maracatins, 1578","Ref.: Av Das Carinas/ Av Dos Imares",-23.612884,-46.666415
530015149,"Parada Mac/USP - Ponto 01","Av. Pedro Alvares Cabral, 1301 Ref.: Mac-USP - Antigo Detran",-23.588715,-46.651727
530015150,"Ac. Acesso A","Ref.: R Doutor Astolfo Araujo/ Vdto General Marcondes Salgado",-23.583773,-46.652583
530015151,"Av. Vinte E Três De Maio","Ref.: Rua Curitiba / Acesso A Av. Pedro Alvares Cabral",-23.582629,-46.652386
530015152,"Av. Pedro Alvares Cabral","Ref.: R Abilio Soares/ Ac Av Pedro Alvares Cabral",-23.581815,-46.657459
530015153,"Av. Pedro Alvares Cabral","Ref.: R Nabia Abdala Chohfi",-23.580501,-46.659815
530015154,"Av. Pedro Alvares Cabral","Ref.: R Abilio Soares/ Pc General Estilac Leal",-23.581368,-46.658836
530015173,"Edmundo Vasconcelos B/C 1","R. Borges Lagoa, 1755 Ref.: Av Rubem Berta/ Av Ibirapuera",-23.596112,-46.653267
530015174,"Edmundo Vasconcelos B/C 2","R. Borges Lagoa, 1635 Ref.: Av Rubem Berta/ Av Ibirapuera",-23.596269,-46.652561
530015179,"Av. Vinte E Três De Maio","Ref.: Vdto Tutoia/ Av Pedro Alvares Cabral",-23.581764,-46.650262
530015184,"Av. Moreira Guimarães","Ref.: Av Jandira/ Av Jamaris",-23.611589,-46.656429
530015185,"Av. Moreira Guimarães","Ref.: Av Aratas/ Av Irai",-23.613477,-46.658198
530015186,"Av. Pedro Alvares Cabral","Ref.: Av Quarto Centenario/ Complexo Viario Ayrton Senna",-23.589427,-46.652329
530015187,"Av. Prof. Ascendino Reis","Ref.: R Doutor Diogo De Faria/ Vdto Borges Lagoa",-23.595561,-46.650857
530015188,"Av. Prof. Ascendino Reis, 724","Ref.: R Pedro De Toledo/ R Borges Lagoa",-23.597455,-46.651055
530015189,"Av. Prof. Ascendino Reis, 830","Ref.: R Pedro De Toledo/ Av Rubem Berta",-23.598417,-46.651200
530015190,"Av. Rubem Berta","Ref.: Av Onze De Junho/ Av Professor Ascendino Reis",-23.601046,-46.651431
530015191,"Av. Rubem Berta","Ref.: Al Canuri/ Av Piassanguaba",-23.604815,-46.651715
530015192,"Av. Rubem Berta","Ref.: Al Uanana/ Av Indianopolis",-23.606932,-46.652313
530015193,"Av. Moreira Guimarães","Ref.: Av Moema/ Av Divino Salvador",-23.608830,-46.654005
530015194,"Al. Dos Tupiniquins","Ref.: Av Das Carinas/ Pc Dos Aranas",-23.615869,-46.663241
530015195,"Al. Dos Nhambiquaras, 1951","Ref.: Av Das Carinas/ R Dos Chanes",-23.614277,-46.666066
530015196,"Al. Dos Nhambiquaras, 1603","Ref.: Av Miruna/ Av Moaci",-23.611985,-46.663892
530015197,"Al. Dos Nhambiquaras, 1245","Ref.: Av Juruce/ Av Aratas",-23.609505,-46.661559
530015198,"Al. Dos Nhambiquaras, 1039","Ref.: Av Jandira/ Av Jurema",-23.607920,-46.660053
530015199,"Al. Dos Nhambiquaras, 809","Ref.: Av Divino Salvador/ R Caboquenas",-23.606351,-46.658628
530015200,"Al. Dos Nhambiquaras, 501","Ref.: Av Chibaras/ Av Acoce",-23.604299,-46.656646
530015201,"Al. Dos Nhambiquaras, 193","Ref.: Av Indianopolis/ R Bangu",-23.602220,-46.654722
530015202,"R. Haberbeck Brandão, 104","Ref.: Al Dos Anapurus/ Av Professor Ascendino Reis",-23.601234,-46.652463
530015238,"Av. Dr. Dante Pazzanese","Ref.: Av Conselheiro Rodrigues Alves/ Av Pedro Alvares Cabral",-23.586105,-46.648028
530015239,"Av. Dr. Dante Pazzanese","Ref.: Av Pedro Alvares Cabral/ Av Conselheiro Rodrigues Alves",-23.585543,-46.650952
530015271,"R. Tutoia, 1102","Ref.: Pc Santissimo Sacramento/ R Pirapora",-23.580396,-46.650606
530015277,"R. Manoel Da Nóbrega, 986","Ref.: R Osorio Duque Estada/ R Dos Bombeiros",-23.574816,-46.654491
530015278,"R. Manoel Da Nóbrega, 1280","Ref.: R Jundiai/ R Salto",-23.576915,-46.656559
530015279,"R. Jundiaí, 49","Ref.: Av Brigadeiro Luis Antonio/ R Manoel Da Nobrega",-23.576712,-46.657068
530015280,"R. Manoel Da Nóbrega, 1474","Ref.: R Rodolfo Troppmair/ R Paulino Camasmie",-23.577821,-46.658075
530015281,"R. Manoel Da Nóbrega","Ref.: R Artur Etzel/ Av Pedro Alvares Cabral",-23.579097,-46.660240
530015285,"Praca Pastor Rubens Lopes","Av. Brig. Luís Antônio, 3987 Ref.: R Doutor Joao Pinheiro/ R Artur Etzel",-23.578663,-46.660769
530015289,"Alameda Lorena","Av. Brig. Luís Antônio, 3185 Ref.: Al Lorena/ R Dos Bombeiros",-23.573870,-46.655265
530015302,"R. Mal. Maurício Cardoso","R. Mal. Maurício Cardoso Ref.: R Abilio Soares/ Av Pedro Alvares Cabral",-23.582213,-46.655850
530015305,"R. Abílio Soares, 1337","Ref.: R Curitiba/ R Joinville",-23.578885,-46.653449
530015306,"R. Abílio Soares, 1160","Ref.: R Joinville/ R Tutoia",-23.578137,-46.652137
530015310,"Av. Ibirapuera","Ref.: R D Ouro/ R Menaldo Rodrigues",-23.592892,-46.652242
530015311,"Mestre De Aviz","Av. Ibirapuera, 900 Ref.: Pc Meste De Aviz/ Largo Meste De Aviz",-23.595202,-46.654400
530015312,"Republica Do Libano C/B","Av. Ibirapuera, 1888 Ref.: Av Chibaras/ Av Acoce",-23.601363,-46.660171
530015313,"Moema C/B","Av. Ibirapuera, 2212 Ref.: Av Jamaris/ Pc Nossa Senhora Aparecida",-23.603717,-46.662385
530015314,"Juruce C/B","Av. Ibirapuera, 2564 Ref.: Av Juruce/ Av Jandira",-23.606111,-46.664559
530015315,"Shopping Ibirapuera C/B 2","Av. Ibirapuera, 3050 Ref.: Av Cotovia/ Av Moaci",-23.609257,-46.667563
530015316,"Shopping Ibirapuera C/B 1","Av. Ibirapuera, 3100 Ref.: Av Cotovia/ Av Joao Castaldi",-23.609685,-46.667978
530015317,"Shopping Ibirapuera B/C","Av. Ibirapuera, 3253 Ref.: R Capitao Alvaro Nascimento Carvalhaes/ R Luiz Brandao",-23.610821,-46.668978
530015318,"Juruce B/C","Av. Ibirapuera, 2681 Ref.: Av Aratas/ Av Juruce",-23.606847,-46.665149
530015319,"Moema B/C","Av. Ibirapuera, 2119 Ref.: Av Sabia/ Av Juriti",-23.603016,-46.661581
530015320,"Republica Do Libano B/C","Av. Ibirapuera, 1599 Ref.: Av Indianopolis/ R Prestes Joao",-23.599261,-46.658076
530015321,"Av. Ibirapuera, 901","Ref.: Pc Meste De Aviz/ Largo Meste De Aviz",-23.595082,-46.654019
530015342,"Fiandeiras B/C1","Av. Sto. Amaro, 1481 Ref.: R Natividade/ R Das Fiandeiras",-23.597141,-46.673646
530015348,"Eucaliptos B/C","Av. Sto. Amaro, 2283 Ref.: R Doutor Andrade Pertence/ Av Joao Castaldi",-23.604788,-46.675035
530015350,"R. Araguari, 753","Ref.: Av Pavao/ Av Santo Amaro",-23.602448,-46.673963
530015351,"Av. Rouxinol, 630","Ref.: R Gaivota/ Al Jauaperi",-23.604504,-46.669075
530015352,"Al. Dos Arapanes, 1228","Ref.: Av Bem Te Vi/ Av Pavao",-23.607557,-46.667925
530015353,"Av. Cotovia, 605","Ref.: R Normandia/ Al Jauaperi",-23.607431,-46.670472
